letter_id,Date,Sender,Recipient,place_dispatch,place_destination,dispatch_geonames_url,destination_geonames_url,dispatch_gnd_url,destination_gnd_url,date_when,date_text,date_not_before,date_not_after,note,link,dispatch_lat,dispatch_lon,destination_lat,destination_lon,distance_km,link_canonical,date_parsed,date_iso,date_inferred,dispatch_inferred,destination_inferred
1,"Donnerstag,  6. Januar 1791",August Wilhelm von Schlegel,Christian Gottlob Heyne,Göttingen,Göttingen,https://www.geonames.org/2918632,https://www.geonames.org/2918632,https://d-nb.info/gnd/4021477-1,https://d-nb.info/gnd/4021477-1,1791-01-06,1791-01-06,,,Empfangsort erschlossen.,https://briefe-der-romantik.de/letters/view/1?left=text,51.53443,9.93228,51.53443,9.93228,0.0,https://briefe-der-romantik.de/letters/view/1?left=text,1791-01-06,1791-01-06,False,False,True
2,"Mittwoch, 20. September 1797",August Wilhelm von Schlegel,Christian Gottlob Heyne,Jena,Göttingen,https://www.geonames.org/2895044,https://www.geonames.org/2918632,https://d-nb.info/gnd/4028557-1,https://d-nb.info/gnd/4021477-1,1797-09-20,1797-09-20,,,Empfangsort erschlossen.,https://briefe-der-romantik.de/letters/view/2?left=text,50.92878,11.5899,51.53443,9.93228,133.6223875686846,https://briefe-der-romantik.de/letters/view/2?left=text,1797-09-20,1797-09-20,False,False,True
3,"Samstag, 26. Mai 1798",August Wilhelm von Schlegel,Georg Joachim Göschen,Berlin,Leipzig,https://www.geonames.org/2950159,https://www.geonames.org/2879139,https://d-nb.info/gnd/2004272-3,https://d-nb.info/gnd/4035206-7,1798-05-26,1798-05-26,,,Empfangsort erschlossen.,https://briefe-der-romantik.de/letters/view/3?left=text,52.52437,13.41053,51.33962,12.37129,149.769216501636,https://briefe-der-romantik.de/letters/view/3?left=text,1798-05-26,1798-05-26,False,False,True
4,"Mittwoch, 31. Oktober 1798",August Wilhelm von Schlegel,Georg Joachim Göschen,Jena,Leipzig,https://www.geonames.org/2895044,https://www.geonames.org/2879139,https://d-nb.info/gnd/4028557-1,https://d-nb.info/gnd/4035206-7,1798-10-31,1798-10-31,,,Empfangsort erschlossen. – Die kursiven Zeilen sind von Caroline Schlegels [= Caroline von Schellings] Hand.,https://briefe-der-romantik.de/letters/view/4?left=text,50.92878,11.5899,51.33962,12.37129,71.12975758976036,https://briefe-der-romantik.de/letters/view/4?left=text,1798-10-31,1798-10-31,False,False,True
5,[Mitte August 1801],Sophie Bernhardi,August Wilhelm von Schlegel,Berlin,Jena,https://www.geonames.org/2950159,https://www.geonames.org/2895044,https://d-nb.info/gnd/2004272-3,https://d-nb.info/gnd/4028557-1,1801-08-15,[Mitte August 1801],,,Datum erschlossen.,https://briefe-der-romantik.de/letters/view/5?left=text,52.52437,13.41053,50.92878,11.5899,217.24707174826614,https://briefe-der-romantik.de/letters/view/5?left=text,1801-08-15,1801-08-15,True,False,False
6,[ca. 20. August 1801],Sophie Bernhardi,August Wilhelm von Schlegel,Berlin,Jena,https://www.geonames.org/2950159,https://www.geonames.org/2895044,https://d-nb.info/gnd/2004272-3,https://d-nb.info/gnd/4028557-1,1801-08-20,[ca. 20. August 1801],,,Datum sowie Absendeort erschlossen.,https://briefe-der-romantik.de/letters/view/6?left=text,52.52437,13.41053,50.92878,11.5899,217.24707174826614,https://briefe-der-romantik.de/letters/view/6?left=text,1801-08-20,1801-08-20,True,True,False
7,"Dienstag, 25. August 1801",Sophie Bernhardi,August Wilhelm von Schlegel,Berlin,Jena,https://www.geonames.org/2950159,https://www.geonames.org/2895044,https://d-nb.info/gnd/2004272-3,https://d-nb.info/gnd/4028557-1,1801-08-25,1801-08-25,,,,https://briefe-der-romantik.de/letters/view/7?left=text,52.52437,13.41053,50.92878,11.5899,217.24707174826614,https://briefe-der-romantik.de/letters/view/7?left=text,1801-08-25,1801-08-25,False,False,False
8,[25. August 1801],Sophie Bernhardi,August Wilhelm von Schlegel,Berlin,Jena,https://www.geonames.org/2950159,https://www.geonames.org/2895044,https://d-nb.info/gnd/2004272-3,https://d-nb.info/gnd/4028557-1,1801-08-25,[25. August 1801],,,Datum sowie Absende- und Empfangsort erschlossen.,https://briefe-der-romantik.de/letters/view/8?left=text,52.52437,13.41053,50.92878,11.5899,217.24707174826614,https://briefe-der-romantik.de/letters/view/8?left=text,1801-08-25,1801-08-25,True,True,True
9,[ca. 28. August 1801],Sophie Bernhardi,August Wilhelm von Schlegel,Berlin,Jena,https://www.geonames.org/2950159,https://www.geonames.org/2895044,https://d-nb.info/gnd/2004272-3,https://d-nb.info/gnd/4028557-1,1801-08-28,[ca. 28. August 1801],,,Datum erschlossen.,https://briefe-der-romantik.de/letters/view/9?left=text,52.52437,13.41053,50.92878,11.5899,217.24707174826614,https://briefe-der-romantik.de/letters/view/9?left=text,1801-08-28,1801-08-28,True,False,False
10,[ca. 30. August 1801],Sophie Bernhardi,August Wilhelm von Schlegel,Berlin,Jena,https://www.geonames.org/2950159,https://www.geonames.org/2895044,https://d-nb.info/gnd/2004272-3,https://d-nb.info/gnd/4028557-1,1801-08-30,[ca. 30. August 1801],,,Datum erschlossen.,https://briefe-der-romantik.de/letters/view/10?left=text,52.52437,13.41053,50.92878,11.5899,217.24707174826614,https://briefe-der-romantik.de/letters/view/10?left=text,1801-08-30,1801-08-30,True,False,False
