letter_id,place_id,place,gnd,geonames
1,2,Göttingen,https://d-nb.info/gnd/4021477-1,https://www.geonames.org/2918632
2,15,Berlin,https://d-nb.info/gnd/2004272-3,https://www.geonames.org/2950159
2,13,Dresden,https://d-nb.info/gnd/37172-5,https://www.geonames.org/2935022
2,14,Gotha,https://d-nb.info/gnd/4021652-4,https://www.geonames.org/2918752
2,2,Göttingen,https://d-nb.info/gnd/4021477-1,https://www.geonames.org/2918632
2,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
2,16,Wien,https://d-nb.info/gnd/4066009-6,
3,15,Berlin,https://d-nb.info/gnd/2004272-3,https://www.geonames.org/2950159
3,13,Dresden,https://d-nb.info/gnd/37172-5,https://www.geonames.org/2935022
3,22,Leipzig,https://d-nb.info/gnd/4035206-7,https://www.geonames.org/2879139
4,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
5,15,Berlin,https://d-nb.info/gnd/2004272-3,https://www.geonames.org/2950159
5,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
6,15,Berlin,https://d-nb.info/gnd/2004272-3,https://www.geonames.org/2950159
7,15,Berlin,https://d-nb.info/gnd/2004272-3,https://www.geonames.org/2950159
7,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
8,15,Berlin,https://d-nb.info/gnd/2004272-3,https://www.geonames.org/2950159
9,15,Berlin,https://d-nb.info/gnd/2004272-3,https://www.geonames.org/2950159
9,58,Weimar,https://d-nb.info/gnd/4065105-8,https://www.geonames.org/2812482
10,15,Berlin,https://d-nb.info/gnd/2004272-3,https://www.geonames.org/2950159
11,15,Berlin,https://d-nb.info/gnd/2004272-3,https://www.geonames.org/2950159
11,60,Braunschweig,https://d-nb.info/gnd/42808-5,https://www.geonames.org/2945024
11,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
12,15,Berlin,https://d-nb.info/gnd/2004272-3,https://www.geonames.org/2950159
12,66,Danzig (Gdańsk),https://d-nb.info/gnd/15739-9,https://www.geonames.org/3099434
12,2,Göttingen,https://d-nb.info/gnd/4021477-1,https://www.geonames.org/2918632
12,58,Weimar,https://d-nb.info/gnd/4065105-8,https://www.geonames.org/2812482
13,15,Berlin,https://d-nb.info/gnd/2004272-3,https://www.geonames.org/2950159
14,15,Berlin,https://d-nb.info/gnd/2004272-3,https://www.geonames.org/2950159
15,15,Berlin,https://d-nb.info/gnd/2004272-3,https://www.geonames.org/2950159
16,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
17,15,Berlin,https://d-nb.info/gnd/2004272-3,https://www.geonames.org/2950159
18,15,Berlin,https://d-nb.info/gnd/2004272-3,https://www.geonames.org/2950159
19,15,Berlin,https://d-nb.info/gnd/2004272-3,https://www.geonames.org/2950159
19,87,Spandau,https://d-nb.info/gnd/4105431-3,https://www.geonames.org/7290252
19,58,Weimar,https://d-nb.info/gnd/4065105-8,https://www.geonames.org/2812482
20,15,Berlin,https://d-nb.info/gnd/2004272-3,https://www.geonames.org/2950159
21,15,Berlin,https://d-nb.info/gnd/2004272-3,https://www.geonames.org/2950159
22,15,Berlin,https://d-nb.info/gnd/2004272-3,https://www.geonames.org/2950159
22,98,Hamburg,https://d-nb.info/gnd/4023118-5,https://www.geonames.org/2911298
480,15,Berlin,https://d-nb.info/gnd/2004272-3,https://www.geonames.org/2950159
481,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
481,58,Weimar,https://d-nb.info/gnd/4065105-8,https://www.geonames.org/2812482
482,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
483,60,Braunschweig,https://d-nb.info/gnd/42808-5,https://www.geonames.org/2945024
483,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
484,60,Braunschweig,https://d-nb.info/gnd/42808-5,https://www.geonames.org/2945024
484,2,Göttingen,https://d-nb.info/gnd/4021477-1,https://www.geonames.org/2918632
484,227,Zürich,https://d-nb.info/gnd/4068038-1,https://www.geonames.org/2657896
485,15,Berlin,https://d-nb.info/gnd/2004272-3,https://www.geonames.org/2950159
485,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
485,58,Weimar,https://d-nb.info/gnd/4065105-8,https://www.geonames.org/2812482
485,227,Zürich,https://d-nb.info/gnd/4068038-1,https://www.geonames.org/2657896
486,60,Braunschweig,https://d-nb.info/gnd/42808-5,https://www.geonames.org/2945024
487,15,Berlin,https://d-nb.info/gnd/2004272-3,https://www.geonames.org/2950159
487,13,Dresden,https://d-nb.info/gnd/37172-5,https://www.geonames.org/2935022
487,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
487,58,Weimar,https://d-nb.info/gnd/4065105-8,https://www.geonames.org/2812482
488,60,Braunschweig,https://d-nb.info/gnd/42808-5,https://www.geonames.org/2945024
488,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
494,2,Göttingen,https://d-nb.info/gnd/4021477-1,https://www.geonames.org/2918632
494,2698,Marburg,https://d-nb.info/gnd/4037446-4,https://www.geonames.org/2873759
495,1378,Amsterdam,https://d-nb.info/gnd/4001783-7,https://www.geonames.org/2759794
495,2,Göttingen,https://d-nb.info/gnd/4021477-1,https://www.geonames.org/2918632
495,173,Hannover,https://d-nb.info/gnd/4023349-2,https://www.geonames.org/2910831
495,9789,Surinam,https://d-nb.info/gnd/4058664-9,
496,1378,Amsterdam,https://d-nb.info/gnd/4001783-7,https://www.geonames.org/2759794
497,1378,Amsterdam,https://d-nb.info/gnd/4001783-7,https://www.geonames.org/2759794
497,566,Erlangen,https://d-nb.info/gnd/4015299-6,https://www.geonames.org/2929567
497,14,Gotha,https://d-nb.info/gnd/4021652-4,https://www.geonames.org/2918752
497,2,Göttingen,https://d-nb.info/gnd/4021477-1,https://www.geonames.org/2918632
497,98,Hamburg,https://d-nb.info/gnd/4023118-5,https://www.geonames.org/2911298
498,1378,Amsterdam,https://d-nb.info/gnd/4001783-7,https://www.geonames.org/2759794
498,58,Weimar,https://d-nb.info/gnd/4065105-8,https://www.geonames.org/2812482
499,2,Göttingen,https://d-nb.info/gnd/4021477-1,https://www.geonames.org/2918632
500,2,Göttingen,https://d-nb.info/gnd/4021477-1,https://www.geonames.org/2918632
500,173,Hannover,https://d-nb.info/gnd/4023349-2,https://www.geonames.org/2910831
500,897,Mainz,https://d-nb.info/gnd/2018680-0,https://www.geonames.org/2874225
500,241,Weißenfels,https://d-nb.info/gnd/4065247-6,https://www.geonames.org/2811899
503,15,Berlin,https://d-nb.info/gnd/2004272-3,https://www.geonames.org/2950159
503,13,Dresden,https://d-nb.info/gnd/37172-5,https://www.geonames.org/2935022
503,282,Teplitz,https://d-nb.info/gnd/4059481-6,https://www.geonames.org/3064288
503,58,Weimar,https://d-nb.info/gnd/4065105-8,https://www.geonames.org/2812482
504,15,Berlin,https://d-nb.info/gnd/2004272-3,https://www.geonames.org/2950159
504,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
504,9856,Königsbrück,https://d-nb.info/gnd/4312736-8,
504,22,Leipzig,https://d-nb.info/gnd/4035206-7,https://www.geonames.org/2879139
504,16,Wien,https://d-nb.info/gnd/4066009-6,
505,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
505,22,Leipzig,https://d-nb.info/gnd/4035206-7,https://www.geonames.org/2879139
507,15,Berlin,https://d-nb.info/gnd/2004272-3,https://www.geonames.org/2950159
507,1018,Breslau,https://d-nb.info/gnd/2005949-8,https://www.geonames.org/3081368
507,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
507,1517,Kassel,https://d-nb.info/gnd/4029869-3,
507,171,Paris,https://d-nb.info/gnd/4044660-8,https://www.geonames.org/2988507
507,5902,Rudelsburg,https://d-nb.info/gnd/4050796-8,
507,411,Rudolstadt,https://d-nb.info/gnd/4105066-6,https://www.geonames.org/2843355
507,58,Weimar,https://d-nb.info/gnd/4065105-8,https://www.geonames.org/2812482
508,259,Bad Bocklet,https://d-nb.info/gnd/4087853-3,https://www.geonames.org/2953540
508,15,Berlin,https://d-nb.info/gnd/2004272-3,https://www.geonames.org/2950159
508,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
530,1370,Stuttgart,https://d-nb.info/gnd/4058282-6,https://www.geonames.org/2825297
530,614,Tübingen,https://d-nb.info/gnd/4061147-4,https://www.geonames.org/2820860
543,15,Berlin,https://d-nb.info/gnd/2004272-3,https://www.geonames.org/2950159
543,60,Braunschweig,https://d-nb.info/gnd/42808-5,https://www.geonames.org/2945024
543,2930,Coburg,https://d-nb.info/gnd/4010325-0,
543,13,Dresden,https://d-nb.info/gnd/37172-5,https://www.geonames.org/2935022
543,14,Gotha,https://d-nb.info/gnd/4021652-4,https://www.geonames.org/2918752
543,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
543,22,Leipzig,https://d-nb.info/gnd/4035206-7,https://www.geonames.org/2879139
543,252,Meiningen,https://d-nb.info/gnd/4038453-6,
543,58,Weimar,https://d-nb.info/gnd/4065105-8,https://www.geonames.org/2812482
546,15,Berlin,https://d-nb.info/gnd/2004272-3,https://www.geonames.org/2950159
546,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
546,22,Leipzig,https://d-nb.info/gnd/4035206-7,https://www.geonames.org/2879139
546,2275,Potsdam,https://d-nb.info/gnd/4046948-7,https://www.geonames.org/2852458
567,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
567,1370,Stuttgart,https://d-nb.info/gnd/4058282-6,https://www.geonames.org/2825297
666,15,Berlin,https://d-nb.info/gnd/2004272-3,https://www.geonames.org/2950159
666,60,Braunschweig,https://d-nb.info/gnd/42808-5,https://www.geonames.org/2945024
666,2777,Halberstadt,https://d-nb.info/gnd/4022987-7,https://www.geonames.org/2911665
666,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
666,3141,Magdeburg,https://d-nb.info/gnd/4036934-1,
666,2440,Offenbach am Main,https://d-nb.info/gnd/4043359-6,https://www.geonames.org/2857807
667,60,Braunschweig,https://d-nb.info/gnd/42808-5,https://www.geonames.org/2945024
667,566,Erlangen,https://d-nb.info/gnd/4015299-6,https://www.geonames.org/2929567
667,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
667,22,Leipzig,https://d-nb.info/gnd/4035206-7,https://www.geonames.org/2879139
668,60,Braunschweig,https://d-nb.info/gnd/42808-5,https://www.geonames.org/2945024
668,173,Hannover,https://d-nb.info/gnd/4023349-2,https://www.geonames.org/2910831
668,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
668,4478,Ribbesbüttel,https://d-nb.info/gnd/7601883-0,
668,58,Weimar,https://d-nb.info/gnd/4065105-8,https://www.geonames.org/2812482
669,15,Berlin,https://d-nb.info/gnd/2004272-3,https://www.geonames.org/2950159
669,60,Braunschweig,https://d-nb.info/gnd/42808-5,https://www.geonames.org/2945024
669,4250,Celle,https://d-nb.info/gnd/4009657-9,
669,566,Erlangen,https://d-nb.info/gnd/4015299-6,https://www.geonames.org/2929567
669,2,Göttingen,https://d-nb.info/gnd/4021477-1,https://www.geonames.org/2918632
669,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
670,15,Berlin,https://d-nb.info/gnd/2004272-3,https://www.geonames.org/2950159
670,60,Braunschweig,https://d-nb.info/gnd/42808-5,https://www.geonames.org/2945024
670,4250,Celle,https://d-nb.info/gnd/4009657-9,
