key,place,geonames_url,gnd_url,lat,lon,source
https://www.geonames.org/2957773,Altenburg (Thüringen),https://www.geonames.org/2957773,,50.98763,12.43684,bestand
name:Altenburg (Thüringen),Altenburg (Thüringen),https://www.geonames.org/2957773,,50.98763,12.43684,bestand
https://d-nb.info/gnd/4249382-1,Altenkirchen (Landkreis Vorpommern-Rügen),,https://d-nb.info/gnd/4249382-1,54.63624,13.34332,bestand
name:Altenkirchen (Landkreis Vorpommern-Rügen),Altenkirchen (Landkreis Vorpommern-Rügen),,https://d-nb.info/gnd/4249382-1,54.63624,13.34332,bestand
https://www.geonames.org/2911296,Altona,https://www.geonames.org/2911296,,53.55,9.93333,bestand
name:Altona,Altona,https://www.geonames.org/2911296,,53.55,9.93333,bestand
https://www.geonames.org/2759794,Amsterdam,https://www.geonames.org/2759794,,52.37403,4.88969,bestand
name:Amsterdam,Amsterdam,https://www.geonames.org/2759794,,52.37403,4.88969,bestand
https://www.geonames.org/3097993,Anhalt (Hołdunów),https://www.geonames.org/3097993,,50.14475,19.14396,bestand
name:Anhalt (Hołdunów),Anhalt (Hołdunów),https://www.geonames.org/3097993,,50.14475,19.14396,bestand
name:Ansbach,Ansbach,,https://d-nb.info/gnd/4002170-1,49.304722,10.593055,bestand
https://d-nb.info/gnd/4002170-1,Ansbach,,https://d-nb.info/gnd/4002170-1,49.304722,10.593055,bestand
https://www.geonames.org/2955471,Arnsberg,https://www.geonames.org/2955471,,51.38333,8.08333,bestand
name:Arnsberg,Arnsberg,https://www.geonames.org/2955471,,51.38333,8.08333,bestand
name:Arnstadt,Arnstadt,,https://d-nb.info/gnd/4003011-8,50.840479,10.95198,bestand
https://d-nb.info/gnd/4003011-8,Arnstadt,,https://d-nb.info/gnd/4003011-8,50.840479,10.95198,bestand
name:Auerstedt,Auerstedt,,https://d-nb.info/gnd/4079866-5,51.099722,11.589166,bestand
https://d-nb.info/gnd/4079866-5,Auerstedt,,https://d-nb.info/gnd/4079866-5,51.099722,11.589166,bestand
