Date,Sender,Recipient,Place of Dispatch,Place of Destination,Dispatch_GeoNames,Destination_GeoNames,link,Dispatch_Lat,Dispatch_Lon,Destination_Lat,Destination_Lon,Distance_km
"Donnerstag,  6. Januar 1791",August Wilhelm von Schlegel,Christian Gottlob Heyne,Göttingen,Göttingen,https://www.geonames.org/2918632,https://www.geonames.org/2918632,https://briefe-der-romantik.de/letters/view/1?left=text&query_id=6773ee556fe85,51.53443,9.93228,51.53443,9.93228,0.0
"Mittwoch, 20. September 1797",August Wilhelm von Schlegel,Christian Gottlob Heyne,Jena,Göttingen,https://www.geonames.org/2895044,https://www.geonames.org/2918632,https://briefe-der-romantik.de/letters/view/2?left=text&query_id=6773ee556fe85,50.92878,11.5899,51.53443,9.93228,133.95526552615266
"Samstag, 26. Mai 1798",August Wilhelm von Schlegel,Georg Joachim Göschen,Berlin,Leipzig,https://www.geonames.org/2950159,https://www.geonames.org/2879139,https://briefe-der-romantik.de/letters/view/3?left=text&query_id=6773ee556fe85,52.52437,13.41053,51.33962,12.37129,149.95178510694163
"Mittwoch, 31. Oktober 1798",August Wilhelm von Schlegel,Georg Joachim Göschen,Jena,Leipzig,https://www.geonames.org/2895044,https://www.geonames.org/2879139,https://briefe-der-romantik.de/letters/view/4?left=text&query_id=6773ee556fe85,50.92878,11.5899,51.33962,12.37129,71.27644163130402
[Mitte August 1801],Sophie Bernhardi,August Wilhelm von Schlegel,Berlin,Jena,https://www.geonames.org/2950159,https://www.geonames.org/2895044,https://briefe-der-romantik.de/letters/view/5?left=text&query_id=6773ee556fe85,52.52437,13.41053,50.92878,11.5899,217.56542410717475
[ca. 20. August 1801],Sophie Bernhardi,August Wilhelm von Schlegel,Berlin,Jena,https://www.geonames.org/2950159,https://www.geonames.org/2895044,https://briefe-der-romantik.de/letters/view/6?left=text&query_id=6773ee556fe85,52.52437,13.41053,50.92878,11.5899,217.56542410717475
"Dienstag, 25. August 1801",Sophie Bernhardi,August Wilhelm von Schlegel,Berlin,Jena,https://www.geonames.org/2950159,https://www.geonames.org/2895044,https://briefe-der-romantik.de/letters/view/7?left=text&query_id=6773ee556fe85,52.52437,13.41053,50.92878,11.5899,217.56542410717475
[25. August 1801],Sophie Bernhardi,August Wilhelm von Schlegel,Berlin,Jena,https://www.geonames.org/2950159,https://www.geonames.org/2895044,https://briefe-der-romantik.de/letters/view/8?left=text&query_id=6773ee556fe85,52.52437,13.41053,50.92878,11.5899,217.56542410717475
[ca. 28. August 1801],Sophie Bernhardi,August Wilhelm von Schlegel,Berlin,Jena,https://www.geonames.org/2950159,https://www.geonames.org/2895044,https://briefe-der-romantik.de/letters/view/9?left=text&query_id=6773ee556fe85,52.52437,13.41053,50.92878,11.5899,217.56542410717475
[ca. 30. August 1801],Sophie Bernhardi,August Wilhelm von Schlegel,Berlin,Jena,https://www.geonames.org/2950159,https://www.geonames.org/2895044,https://briefe-der-romantik.de/letters/view/10?left=text&query_id=6773ee556fe85,52.52437,13.41053,50.92878,11.5899,217.56542410717475
[4. September 1801],August Wilhelm von Schlegel,Sophie Bernhardi,Jena,Berlin,https://www.geonames.org/2895044,https://www.geonames.org/2950159,https://briefe-der-romantik.de/letters/view/11?left=text&query_id=6773ee556fe85,50.92878,11.5899,52.52437,13.41053,217.56542410717475
[ca. 10. September 1801],Sophie Bernhardi,August Wilhelm von Schlegel,Berlin,Jena,https://www.geonames.org/2950159,https://www.geonames.org/2895044,https://briefe-der-romantik.de/letters/view/12?left=text&query_id=6773ee556fe85,52.52437,13.41053,50.92878,11.5899,217.56542410717475
[Mitte September 1801],Sophie Bernhardi,August Wilhelm von Schlegel,Berlin,Jena,https://www.geonames.org/2950159,https://www.geonames.org/2895044,https://briefe-der-romantik.de/letters/view/13?left=text&query_id=6773ee556fe85,52.52437,13.41053,50.92878,11.5899,217.56542410717475
[Ende September 1801],Sophie Bernhardi,August Wilhelm von Schlegel,Berlin,Jena,https://www.geonames.org/2950159,https://www.geonames.org/2895044,https://briefe-der-romantik.de/letters/view/14?left=text&query_id=6773ee556fe85,52.52437,13.41053,50.92878,11.5899,217.56542410717475
[ca. 30. September 1801],Sophie Bernhardi,August Wilhelm von Schlegel,Berlin,Jena,https://www.geonames.org/2950159,https://www.geonames.org/2895044,https://briefe-der-romantik.de/letters/view/15?left=text&query_id=6773ee556fe85,52.52437,13.41053,50.92878,11.5899,217.56542410717475
